Problem No: 6
Source: (23.834145, 0.000000)
Destination: (0.000000, 0.000000)
Starting time at source: -4:30283 AM
Destination reaching time: 3:43 AM

12:56 PM - 12:56 PM, Cost: ৳0.33: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.74: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.58: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.67: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.73: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.29: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.95: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.28: Ride Car from (23.79, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.92: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.47: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.84: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.28: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.52: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.89: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.70: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.72: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.63: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.14: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.11: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.09: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.16: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.18: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.50: Ride Car from (23.78, 90.34) to (23.78, 90.34).
12:56 PM - 12:57 PM, Cost: ৳7.24: Ride Car from (23.78, 90.34) to (23.78, 90.33).
12:57 PM - 5:42 PM, Cost: ৳0: Walk from (23.78, 90.33) to Destination (0.00, 0.00).
