Problem no : 2
Minimum cost is 177.7600210797930629৳ 
Source:  (90.412500, 23.810300)
Destination:  (90.388400, 23.750400)
Cost: 1.6504874478378904৳ . Ride Car from  (90.393720, 23.762098) to (90.393202, 23.761527)
Cost: 4.9248016851287719৳ . Ride Car from  (90.393202, 23.761527) to (90.391632, 23.759842)
Cost: 0.6959071905088960৳ . Ride Car from  (90.391632, 23.759842) to (90.391405, 23.759608)
Cost: 3.1398411212159125৳ . Ride Car from  (90.391405, 23.759608) to (90.390558, 23.758428)
Cost: 0.9205455720415110৳ . Ride Car from  (90.390558, 23.758428) to (90.390122, 23.758538)
Cost: 1.3321601215371932৳ . Ride Car from  (90.390122, 23.758538) to (90.389841, 23.759079)
Cost: 5.2340788070649511৳ .  Ride Metro from Firmgate(90.389841, 23.759079) to Sonarga hotel (90.393274, 23.750220)
Cost: 0.9118527914774371৳ . Ride Car from  (90.393274, 23.750220) to (90.393422, 23.749833)
Cost: 0.4117400427299267৳ . Ride Car from  (90.393422, 23.749833) to (90.393225, 23.749875)
Cost: 4.9775569630609739৳ . Ride Car from  (90.393225, 23.749875) to (90.390840, 23.750369)
Cost: 0.5699806822619070৳ . Ride Car from  (90.390840, 23.750369) to (90.390567, 23.750426)
Cost: 0.2100429961819803৳ . Ride Car from  (90.390567, 23.750426) to (90.390549, 23.750333)
Cost: 1.1513963349230742৳ . Ride Car from  (90.390549, 23.750333) to (90.390415, 23.749830)
Cost: 1.4757828219601841৳ . Ride Car from  (90.390415, 23.749830) to (90.389690, 23.749830)
Cost: 0.4795014124434273৳ . Ride Car from  (90.389690, 23.749830) to (90.389839, 23.749663)
Cost: 1.2309623961061342৳ . Ride Car from  (90.389839, 23.749663) to (90.389240, 23.749587)
Cost: 0.6811641231155567৳ . Ride Car from  (90.389240, 23.749587) to (90.388909, 23.749542)
Cost: 0.2719969437370434৳ . Ride Car from  (90.388909, 23.749542) to (90.388777, 23.749523)
Cost: 1.1849301728203379৳ . Ride Car from  (90.388777, 23.749523) to (90.388585, 23.750026)
Walk from  (90.388585, 23.750026) to Destination (90.388400, 23.750400)
